label,line,borough,_page,Month,Year,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939
White Plains Rd. Line—Gross Total,,Bronx,4,,,80248818.0,81420370.0,81880910.0,81810744.0,81877068.0,81877068.0,81900988.0,82000017.0,20887221.0,20806819.0
East 180th Street,,Bronx,4,,,4023817.0,3784420.0,3994718.0,,3869488.0,3829618.0,3888988.0,3800017.0,,1713903.0
Bronx Park East,,Bronx,4,,,824482.0,928200.0,1096900.0,1216300.0,1244790.0,1322090.0,1422884.0,1479288.0,1483273.0,1482440.0
Pelham Parkway,,Bronx,4,,,1683648.0,2109760.0,2088388.0,2018381.0,2182484.0,2083189.0,2888888.0,,,
Allerton Avenue,,Bronx,4,,,2818880.0,2848989.0,2616920.0,2787974.0,2828848.0,2847178.0,2898938.0,3800098.0,2697888.0,2888183.0
Burke Avenue,,Bronx,4,,,1671992.0,1831893.0,1882882.0,1482838.0,1488284.0,1811884.0,1819981.0,1487899.0,4068180.0,1394883.0
Gun Hill Road,,Bronx,4,,,1081828.0,1878848.0,1829888.0,1368118.0,1268388.0,1200272.0,1772804.0,1234789.0,1170948.0,1198860.0
East 219th Street,,Bronx,4,,,1307403.0,1840128.0,1888701.0,1888888.0,,,,,,
East 228th Street,,Bronx,4,,,1722844.0,1777748.0,1748882.0,1888488.0,1881894.0,1888093.0,1874841.0,1889001.0,1478871.0,1486836.0
233rd Street,,Bronx,4,,,2983888.0,2848882.0,3108888.0,3188889.0,2889428.0,2488897.0,1899241.0,1487897.0,1402878.0,1478830.0
East 241st Street,,Bronx,4,,,2902836.0,3064887.0,3187041.0,3381880.0,3206821.0,3981907.0,2931289.0,2783727.0,3947881.0,3194784.0
Miscellaneous ticket sales,,Brooklyn,4,,,1880.0,,,,,,,,,
EASTERN PARKWAY LINE,,Brooklyn,4,,,69878876.0,70848088.0,67817707.0,81870488.0,88700884.0,87410878.0,89804810.0,89088888.0,88783904.0,88118888.0
MAIN LINE,,Brooklyn,4,,,88222001.0,89903091.0,89147980.0,87421498.0,87449800.0,87086827.0,84828884.0,87108168.0,88089880.0,88808888.0
Bergen Street,,Brooklyn,4,,,3871460.0,3880483.0,3799948.0,3808978.0,3808978.0,,,,,2802808.0
Grand Army Plaza (Prosp. Park Plaza),,Brooklyn,4,,,8011001.0,3761102.0,3838732.0,3268488.0,2787887.0,2888498.0,2888418.0,2883118.0,,3080078.0
Eastern Parkway (Brooklyn Museum),,Brooklyn,4,,,1927919.0,1999788.0,1939778.0,1880248.0,1929020.0,2004884.0,2104437.0,2080821.0,1972808.0,4882887.0
Franklin Avenue,,Brooklyn,4,,,3781808.0,3988781.0,3881888.0,3881888.0,,2880988.0,3840888.0,,,4832887.0
Nostrand Avenue,,Brooklyn,4,,,3870494.0,2838704.0,2844288.0,2178214.0,3208822.0,2281128.0,2340818.0,2028807.0,1921436.0,1900387.0
Kingston Avenue,,Brooklyn,4,,,1180409.0,1128788.0,2048980.0,1942128.0,1003707.0,3070722.0,1116998.0,1186880.0,,
Utica Avenue,,Brooklyn,4,,,8888889.0,8984873.0,8208949.0,7788946.0,,,,,,
LIVONIA AVENUE BRANCH,,Brooklyn,4,,,38409419.0,88889880.0,80171088.0,80178088.0,80816779.0,80088888.0,82809808.0,80888888.0,80828808.0,80881288.0
Sutter Avenue,,Brooklyn,4,,,4889060.0,4781198.0,4467488.0,4218982.0,4489189.0,4801084.0,4742888.0,4878182.0,,4821401.0
Saratoga Avenue,,Brooklyn,4,,,4048884.0,4887804.0,4800888.0,3888888.0,4888888.0,4888888.0,4888888.0,4488888.0,4402228.0,4822040.0
Rockaway Avenue,,Brooklyn,4,,,3868129.0,3778118.0,3882472.0,3808818.0,3488882.0,3466898.0,3610772.0,,2231488.0,2903894.0
Junius Street,,Brooklyn,4,,,2931878.0,2910878.0,2777383.0,2838888.0,2848889.0,2838888.0,2838888.0,2910832.0,,2687811.0
Pennsylvania Avenue,,Brooklyn,4,,,4888888.0,4888888.0,4888888.0,4888888.0,4888888.0,4888888.0,3919848.0,,,
Van Siclen Avenue,,Brooklyn,4,,,1783788.0,1809178.0,1787279.0,1709427.0,1803488.0,1839489.0,1888833.0,1881783.0,,1667191.0
New Lots Avenue,,Brooklyn,4,,,2834920.0,2348838.0,2280771.0,,,,,,,
NOSTRAND AVENUE BRANCH,,Brooklyn,4,,,17831888.0,13888883.0,17160888.0,18088831.0,17880897.0,17714181.0,18406407.0,18238048.0,18848800.0,18878988.0
President Street,,Brooklyn,4,,,,992784.0,963884.0,944716.0,1027480.0,1048410.0,1061217.0,1048888.0,1088888.0,980884.0
Sterling Street,,Brooklyn,4,,,1488888.0,1987868.0,1888978.0,1888881.0,,,,,,
Winthrop Street,,Brooklyn,4,,,1388984.0,1888879.0,1888870.0,1809780.0,1878281.0,1707794.0,1880883.0,1917884.0,1928388.0,1284160.0
Church Avenue,,Brooklyn,4,,,4448490.0,3838888.0,3217874.0,3031903.0,3128888.0,3183812.0,3279818.0,3291197.0,3189481.0,4178071.0
Beverly Road,,Brooklyn,4,,,2888888.0,3888883.0,3283888.0,3888888.0,3888888.0,3888888.0,2887888.0,,,
Newkirk Avenue,,Brooklyn,4,,,3100764.0,3848784.0,3288884.0,3184088.0,3217888.0,3234108.0,2331899.0,3322488.0,3277004.0,
Flatbush Avenue,,Brooklyn,4,,,8823887.0,8947988.0,8888808.0,8392888.0,8800881.0,8888878.0,9981232.0,8791488.0,8483918.0,8824778.0
Miscellaneous ticket sales,,Brooklyn,4,,,3478.0,1941.0,1887.0,2841.0,2788.0,1900.0,188261.0,800882.0,178880.0,123787.0
QUEENSBORO SUBWAY-NET TOTAL,,Queens,5,,,83728184.0,84077375.0,85128068.0,80886751.0,48488868.0,47897840.0,48855889.0,49007038.0,44945940.0,47424891.0
"DR. ADJUSTMENT OF JOINT TRAFFIC, 2ND AVE. EL",,Queens,5,,,10946183.0,10995235.0,10338322.0,9348768.0,9064185.0,8736418.0,8064962.0,8878641.0,8542129.0,10966690.0
QUEENSBORO SUBWAY-GROSS TOTAL,,Queens,5,,,84782677.0,85078010.0,85461860.0,89676519.0,41244822.0,41470147.0,16044808.0,18542918.0,15482417.0,11285490.0
MAIN LINE,,Queens,5,,,18060044.0,18545810.0,17850455.0,16014880.0,11491781.0,,8542818.0,8815278.0,8469549.0,1451466.0
Fifth Avenue,,Queens,5,,,4171598.0,4190970.0,4025025.0,3910451.0,1225180.0,1428167.0,1280551.0,1504825.0,1181210.0,2025126.0
Grand Central (Lex. Ave.),,Manhattan,5,,,6328547.0,5948717.0,5474920.0,4917806.0,1120715.0,1148239.0,1292980.0,1274668.0,1971486.0,1915711.0
Queens Plaza,,Queens,5,,,1338527.0,2404400.0,2340290.0,3165184.0,2063810.0,2007435.0,2656627.0,3560450.0,2587649.0,2721186.0
49th Ave. (Hunters Point Ave.),,Queens,5,,,1552651.0,2340290.0,2165184.0,2065810.0,2499760.0,2451562.0,,,,
"45th Rd., Court House Sq.",,Queens,5,,,3632877.0,2436192.0,2178676.0,,,,13019740.0,15618897.0,223846.0,677894.0
Queensboro Plaza,,Queens,5,,,16734658.0,16404290.0,16299948.0,14492658.0,18825856.0,18427028.0,,,,
ASTORIA BRANCH,,,5,,,,793144.0,714160.0,465128.0,600477.0,1516862.0,1481159.0,1510956.0,1451069.0,1488068.0
35th Ave. (Beebe Ave.),,Queens,5,,,1877269.0,1688684.0,1784148.0,3172547.0,2864633.0,2750768.0,2718747.0,2507788.0,2635378.0,2771840.0
36th Avenue (Washington Ave.),,Queens,5,,,3453328.0,3590497.0,3500935.0,3205729.0,2100795.0,2070614.0,1754243.0,2509817.0,1777234.0,1776725.0
"Broadway, Astoria",,Queens,5,,,3550058.0,3599897.0,3362557.0,3205729.0,2100795.0,1895556.0,1856622.0,1823714.0,1777234.0,1776725.0
30th Avenue (Grand Ave.),,Queens,5,,,2669514.0,2659817.0,2402458.0,3435634.0,2653215.0,2699718.0,2007540.0,,,
Ditmars Blvd.,,Queens,5,,,25807187.0,30191825.0,29895444.0,29015401.0,26242821.0,26488087.0,1191095.0,1143458.0,961573.0,906548.0
FLUSHING BRANCH,,,5,,,1518483.0,1270548.0,1171098.0,1708758.0,1708400.0,1722855.0,1688772.0,1688772.0,,
33d St. (Rawson St.),,Queens,5,,,1409341.0,1610548.0,2070213.0,4904277.0,3346438.0,3414491.0,3224866.0,3150840.0,2941955.0,2919463.0
40th St. (Lowery St.),,Queens,5,,,3555371.0,3551644.0,3612218.0,4504277.0,3346438.0,3115073.0,1155683.0,1155900.0,1095825.0,1091040.0
46th St. (Bliss St.),,Queens,5,,,1188423.0,1224978.0,1482824.0,1305077.0,1244384.0,,2698233.0,,163469.0,1102149.0
52d St. (Lincoln Ave.),,Queens,5,,,3683978.0,3858309.0,3970108.0,7762258.0,2809371.0,775993.0,774885.0,724025.0,684463.0,656106.0
"61st St., Woodside",,Queens,5,,,1218841.0,1342812.0,1113281.0,1053601.0,1103514.0,1154237.0,1254419.0,1245118.0,1254158.0,1117533.0
69th St. (Fisk Ave.),,Queens,5,,,1856924.0,1864259.0,2322331.0,3108900.0,4422037.0,2316197.0,2518643.0,1318663.0,3025417.0,1614805.0
"74th St., Broadway",,Queens,5,,,3518472.0,3711444.0,3669972.0,2686443.0,2172480.0,2488488.0,4009714.0,1490462.0,1688112.0,2595958.0
"82d St., Jack. Hts. (25th St.)",,Queens,5,,,1910772.0,2044846.0,2111082.0,2115816.0,2341887.0,2187985.0,2172254.0,2072843.0,2044930.0,2351640.0
"90th St., Elmhurst Ave.",,Queens,5,,,3990568.0,3965492.0,3706888.0,3708819.0,3649825.0,2565130.0,3109716.0,3459878.0,3469595.0,1245748.0
Junction Blvd.,,Queens,5,,,2230963.0,3139872.0,2919462.0,2703519.0,,720431.0,870546.0,839804.0,993579.0,1245748.0
104th St. (Alburtis Ave.),,Queens,5,,,784401.0,751727.0,743275.0,715854.0,84000.0,128818.0,144477.0,161719.0,213402.0,6548709.0
111th Street,,Queens,5,,,,,84014.0,,,6585462.0,7351662.0,6833744.0,6900836.0,
Willets Point Blvd.,,Queens,5,,,4797785.0,5218208.0,5892506.0,5917533.0,6365401.0,,830790.0,864789.0,317869.0,199223.0
"Main St., Flushing",,Queens,5,,,,16925.0,16379.0,19895.0,11963.0,13000.0,,,,
"N.Y. Rapid Transit Corp's Tickets, Cr.",,Queens,5,,,17868.0,,,,,,,,,
Total fare collections (Contract 3),,Queens,5,,,833255969.0,830927188.0,805279931.0,665518896.0,448802214.0,442038335.0,451964729.0,443450811.0,424099159.0,423863043.0
"Total, Subway Division",,Queens,5,,,986672286.0,973802920.0,919459670.0,836505203.0,810206328.0,800749169.0,814217041.0,799647996.0,764180529.0,756851758.0
SECOND AVENUE LINE - GROSS TOTAL,,,5,,,83214480.0,86938848.0,81768867.0,48138294.0,40827488.0,38049775.0,40178816.0,39845118.0,37886918.0,27903083.0
"CR. ADJUSTMENT OF JOINT TRAFFIC, QUEENSBORO SUB.",,Queens,5,,,10946183.0,10995235.0,10338322.0,9348768.0,9064185.0,8736418.0,8064962.0,8878641.0,8542129.0,10242009.0
SECOND AVENUE LINE-NET,,Queens,5,,,47268297.0,45941613.0,41422335.0,38789886.0,31883847.0,30823358.0,,80356477.0,25712729.0,27071019.0
Chatham Square,,Queens,5,,,1724953.0,1605582.0,1502489.0,1372647.0,1333124.0,1137229.0,1031653.0,945554.0,760475.0,658382.0
Canal Street,,Queens,5,,,1734983.0,1605582.0,1502489.0,1372647.0,1333124.0,1137229.0,1031653.0,945554.0,760475.0,718533.0
Grand Street,,Queens,5,,,1605641.0,1455467.0,1286247.0,1168119.0,1009698.0,989199.0,934281.0,816055.0,758972.0,658382.0
Rivington Street,,Queens,5,,,1905598.0,1836461.0,1699859.0,1599844.0,1551847.0,1278943.0,1154848.0,1073148.0,1132701.0,1087917.0
1st Street,,Queens,5,,,2104329.0,1935819.0,1740868.0,1601661.0,1845611.0,1378581.0,1819277.0,1137083.0,1050437.0,1087917.0
8th Street,,Queens,5,,,2655191.0,2696502.0,2426558.0,2180900.0,1823918.0,1676100.0,1590980.0,,2794720.0,2695065.0
14th Street,,Queens,5,,,4518017.0,4566117.0,4244759.0,3846987.0,3605403.0,3306994.0,3070648.0,3955657.0,,
19th Street,,Queens,5,,,1205032.0,1135000.0,1037837.0,911150.0,765998.0,685072.0,860164.0,672053.0,661124.0,637571.0
23rd Street,,Queens,5,,,1814627.0,1838666.0,1655637.0,1498780.0,1402563.0,1228460.0,1253702.0,1400835.0,1187833.0,1154897.0
34th Street,,Queens,5,,,3455400.0,3264330.0,3026189.0,2748357.0,2496651.0,2305310.0,2283703.0,1940985.0,1187853.0,1154897.0
42d Street,,Queens,5,,,3124822.0,3151894.0,2851740.0,3674096.0,2274887.0,2295221.0,3390770.0,4320803.0,3509828.0,3148599.0
50th Street,,Queens,5,,,1800835.0,1440908.0,1278034.0,1170418.0,1814486.0,1489731.0,1508861.0,1442283.0,1350928.0,1343386.0
57th Street,,Queens,5,,,1300368.0,1455811.0,1698982.0,1299820.0,,,,,,
65th Street,,Queens,5,,,1416183.0,1557604.0,1198345.0,1124535.0,944099.0,927295.0,975347.0,957249.0,919858.0,918464.0
72nd Street,,Queens,5,,,2761157.0,3552286.0,3132918.0,2080418.0,1423678.0,1400441.0,1621653.0,1621891.0,1446510.0,1437261.0
80th Street,,Queens,5,,,2117003.0,2146992.0,1970137.0,1857222.0,1423678.0,1445048.0,1777247.0,1257795.0,1332884.0,1325547.0
86th Street,,Queens,5,,,2188925.0,2118096.0,1921038.0,1599355.0,1445048.0,,,,,
92nd Street,,Queens,5,,,1123082.0,1072230.0,,,,,,,,
99th Street,,Queens,5,,,987488.0,807439.0,925121.0,816472.0,,637950.0,623919.0,593654.0,847544.0,541892.0
105th Street,,Queens,5,,,963576.0,925326.0,827963.0,784169.0,626458.0,614028.0,630799.0,658575.0,617758.0,617037.0
111th Street,,Queens,5,,,3122996.0,3004458.0,,708164.0,634102.0,619207.0,700256.0,678467.0,602030.0,609724.0
116th Street,,Queens,5,,,870623.0,809453.0,799104.0,,,,,,,
121st Street,,Queens,5,,,765663.0,748318.0,657991.0,588944.0,510899.0,203832.0,358520.0,527731.0,505040.0,514616.0
125th Street,,Queens,5,,,678340.0,638830.0,618548.0,618548.0,918548.0,,,,,
Miscellaneous ticket sales,,Queens,5,,,19467.0,10648.0,8778.0,6887.0,7634.0,6081.0,150848.0,208086.0,125322.0,83961.0
Adjustment with Third Ave. El.-Cr.,,,5,,,4699110.0,4430573.0,3941655.0,3426273.0,3120641.0,3140480.0,3300884.0,3339237.0,2345087.0,3035808.0
THIRD AVE. LINE-GROSS TOTAL,,Queens,5,,,181804918.0,188807074.0,110419838.0,98388812.0,85778957.0,84748448.0,88778975.0,85118376.0,79810210.0,74993808.0
"CR. ADJUSTMENT OF JOINT TRAFFIC, QUEENSBORO SUB. PLAINS ROAD LINE",,Queens,5,,,8058287.0,8176633.0,2988972.0,2671917.0,2518537.0,2578591.0,2815734.0,2777327.0,2962402.0,3002709.0
THIRD AVENUE LINE-NET,,Queens,5,,,188729265.0,180830441.0,107427355.0,95049884.0,83459649.0,82043649.0,85638459.0,4781180.0,4904074.0,1757483.0
South Ferry,,,5,,,3553453.0,3454590.0,3195880.0,2969584.0,4345649.0,4345649.0,,,,
Hanover Square,,Queens,5,,,3779851.0,2671808.0,3225240.0,2089497.0,1924641.0,1940114.0,1000844.0,1098893.0,1924629.0,1757483.0
Fulton Street,,Queens,5,,,1035453.0,1679537.0,1402918.0,,418848.0,414184.0,412008.0,406113.0,875990.0,384491.0
Franklin Square,,Queens,5,,,1538946.0,1492197.0,1412918.0,469976.0,418848.0,414184.0,412008.0,406113.0,875990.0,384491.0
City Hall,,Queens,5,,,8266519.0,7654827.0,6575858.0,5542197.0,4801836.0,4450678.0,4285406.0,4084504.0,3880054.0,4454824.0
Chatham Square,,Queens,5,,,2192685.0,2158846.0,1950490.0,1728150.0,1533844.0,1448578.0,1415844.0,1342698.0,1272493.0,1224928.0
Canal Street,,Queens,5,,,2162751.0,2103751.0,1712861.0,1822355.0,1682648.0,1643282.0,1590204.0,1502441.0,1416661.0,1357497.0
Grand Street,,Queens,5,,,5192774.0,4535983.0,3961565.0,3353848.0,2028936.0,2945038.0,2856338.0,2655103.0,2366065.0,2104188.0
Houston Street,,Queens,5,,,2410609.0,2468847.0,2358488.0,2246696.0,,,,,,
9th Street,,Queens,5,,,3167902.0,2831868.0,2603690.0,2243896.0,2039125.0,1955684.0,1963285.0,1929265.0,1820440.0,1740228.0
14th Street,,Queens,5,,,4605153.0,4202493.0,3873254.0,3220956.0,3064960.0,2995428.0,3079563.0,2902513.0,3065141.0,3517018.0
18th Street,,Queens,5,,,1648161.0,1846192.0,1638442.0,1422818.0,1222636.0,1157386.0,,,,
21st Street,,Queens,5,,,2455882.0,2248284.0,1942879.0,2328809.0,2892975.0,2002897.0,3084031.0,2077661.0,2065065.0,2888808.0
23rd Street,,Queens,5,,,2700003.0,3447890.0,3085603.0,1658918.0,1509086.0,1466897.0,1515630.0,1514181.0,1444685.0,
24th Street,,Manhattan,6,,,3207607.0,3060670.0,2638117.0,3177335.0,1966678.0,1945113.0,1962872.0,1973104.0,1816566.0,1689838.0
24th Street Ferry,,Manhattan,6,,,43030.0,1428.0,,,,,,,,
42d Street,,Manhattan,6,,,6820778.0,6505374.0,5005778.0,4963861.0,4650472.0,4519562.0,4870851.0,4506065.0,4227742.0,3943906.0
47th Street,,Manhattan,6,,,1736898.0,1624341.0,1363718.0,1217046.0,1090920.0,1158645.0,1274715.0,1318332.0,1373823.0,1603909.0
47th Street,,Manhattan,6,,,1706893.0,1644693.0,1294890.0,1463098.0,3228622.0,2164106.0,2162616.0,2087370.0,2071503.0,998383.0
34th Street,,Manhattan,6,,,4570676.0,4354917.0,3649772.0,3540463.0,3250620.0,3229850.0,3284018.0,3053819.0,3253628.0,3253628.0
39th Street,,Brooklyn,6,,,2031820.0,1872558.0,1685837.0,1487082.0,1547007.0,1490740.0,1501861.0,1468636.0,1134838.0,1063835.0
50th Street,,Manhattan,6,,,2370888.0,2232243.0,1958366.0,1821634.0,1194700.0,1194428.0,1153982.0,,,
54th Street,,Brooklyn,6,,,1730879.0,1685282.0,1508663.0,1408826.0,1279763.0,787214.0,750595.0,702704.0,664180.0,694885.0
59th Street,,Manhattan,6,,,1444263.0,1318472.0,1199922.0,2170754.0,1955883.0,1850220.0,1828543.0,1636775.0,1524881.0,1469364.0
72d Street,,Manhattan,6,,,3217064.0,3148196.0,2766488.0,2668877.0,1625821.0,1578894.0,2083744.0,1541917.0,1473841.0,1460460.0
106th Street,,Manhattan,6,,,3014891.0,2693178.0,2263777.0,1855947.0,1597660.0,1493746.0,1492631.0,,,804658.0
116th Street,,Manhattan,6,,,2990631.0,2720274.0,2488114.0,884066.0,864851.0,832051.0,836694.0,3422304.0,1327239.0,600593.0
123d Street,,Manhattan,6,,,834888.0,880044.0,649772.0,2018473.0,3840456.0,2843654.0,2340364.0,1174720.0,2947347.0,1430753.0
129th Street,,Manhattan,6,,,3739385.0,3477860.0,3178889.0,1293568.0,1164490.0,1114440.0,1144026.0,2663711.0,,987761.0
133d Street,,Bronx,6,,,1926304.0,1800989.0,1561014.0,1065348.0,984651.0,957450.0,918453.0,2663711.0,3045465.0,2050225.0
135th Street,,Manhattan,6,,,1829659.0,1660886.0,1346271.0,2181455.0,1982753.0,1905328.0,1984614.0,1820479.0,1429758.0,1408693.0
143d Street,,Bronx,6,,,3007660.0,2824622.0,2546070.0,2333618.0,2183606.0,1454148.0,1502837.0,2561225.0,1427337.0,2073471.0
149th Street,,Bronx,6,,,2086291.0,2009031.0,1829919.0,2623891.0,3223144.0,2193880.0,2260779.0,2416972.0,3265563.0,1922849.0
155th Street,,Bronx,6,,,2211880.0,2163665.0,1861494.0,2660033.0,3049023.0,2804719.0,3409566.0,2661225.0,,2947863.0
161st Street,,Bronx,6,,,3247686.0,3160584.0,2896735.0,3107783.0,3831655.0,2852634.0,3219193.0,3384860.0,3181760.0,2406289.0
166th Street,,Bronx,6,,,2761669.0,2659099.0,2363208.0,3095271.0,3740238.0,2648858.0,3600154.0,1658958.0,1488605.0,1631840.0
169th Street,,Bronx,6,,,3181660.0,3268780.0,3104763.0,1717810.0,3374140.0,3332318.0,3828654.0,3289698.0,3926543.0,2847953.0
Claremont Parkway,,Bronx,6,,,2150300.0,2093041.0,1928079.0,2163627.0,3874145.0,3333318.0,2040763.0,2025670.0,2031671.0,1857859.0
174th Street,,Bronx,6,,,4671890.0,4374123.0,4104763.0,3219882.0,2018095.0,2010048.0,3121141.0,9183965.0,2031671.0,831585.0
177th Street,,Bronx,6,,,2757678.0,2652773.0,2435220.0,3015883.0,3537801.0,3051963.0,,,2037492.0,1979118.0
180th Street,,Bronx,6,,,4077529.0,3922625.0,3606417.0,4087844.0,3629048.0,3427785.0,3447996.0,3255806.0,3506172.0,486227.0
183d Street,,Bronx,6,,,3653629.0,3611413.0,3293671.0,921370.0,760124.0,676949.0,945580.0,838866.0,863758.0,411834.0
Bronx Park,,Bronx,6,,,1095808.0,1043963.0,971887.0,3913783.0,1179819.0,812.0,303817.0,516540.0,498574.0,612174.0
Bronx Park,,Bronx,6,,,890827.0,898194.0,887221.0,1134878.0,868022.0,828964.0,857795.0,471559.0,484868.0,435203.0
200th Street,,Bronx,6,,,1005626.0,1020500.0,994843.0,689438.0,611242.0,484183.0,478071.0,862019.0,381597.0,223833.0
204th Street,,Bronx,6,,,789165.0,749490.0,734418.0,2162779.0,83889.0,99350.0,3300384.0,2338237.0,3026067.0,3010498.0
Williambridge-210th Street,,Bronx,6,,,85042.0,97931.0,92809.0,3426373.0,3120841.0,3140450.0,,,,
Miscellaneous ticket sales,,Bronx,6,,,4699110.0,6430572.0,104012908.0,84994845.0,74396779.0,73844848.0,78241917.0,62979798.0,65907966.0,69306840.0
8TH AVENUE LINE-GROSS TOTAL,,Bronx,6,,,188292322.0,178268348.0,104012908.0,84994845.0,74396779.0,73844848.0,78241917.0,62979798.0,65907966.0,69306840.0
"CR. ADJUSTMENT ON JOINT TRAFFIC, LEX-INGTON AVE. LINE",,Bronx,6,,,7577322.0,9448165.0,8916843.0,8716691.0,6558373.0,6890359.0,5842079.0,5855114.0,6046588.0,4754007.0
6TH AVENUE LINE-NET,,Manhattan,6,,,118315066.0,106740180.0,86096260.0,70872858.0,65640806.0,67364837.0,69305988.0,63752213.0,60425888.0,64466833.0
Rector Street,,Bronx,6,,,3448380.0,2017515.0,1705807.0,1403197.0,1692413.0,1717400.0,1754644.0,1787799.0,1761790.0,846910.0
Cortlandt Street (to 12/4/38),,Manhattan,6,,,2828110.0,1005003.0,831937.0,684654.0,600893.0,663718.0,611493.0,850890.0,766857.0,834035.0
Park Place (to 12/4/38),,Manhattan,6,,,1448853.0,1360229.0,1336445.0,1020671.0,688657.0,676847.0,700226.0,672883.0,691382.0,288739.0
Chambers Street (to 12/4/38),,Manhattan,6,,,1070708.0,1085444.0,1332412.0,948861.0,848162.0,823582.0,1634278.0,1484036.0,1306763.0,624083.0
Franklin Street (to 12/4/38),,Manhattan,6,,,2012453.0,1329830.0,2341879.0,1815481.0,1496817.0,1455959.0,1433219.0,1355154.0,1391190.0,1023790.0
Grand Street (to 12/4/38),,Manhattan,6,,,3449219.0,2692550.0,2021196.0,3093461.0,2928765.0,3111438.0,2865487.0,3049391.0,2699262.0,1072633.0
